,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5058,41043038.0,Unknown,0.0,0.33,False,True,True,1,La Florida,-33.53046,-70.58318,Entire home/apt,6,1.0,3.0,5.0,50000,2.0,30.0,359,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5059,41043862.0,a few days or more,0.0,0.0,False,True,False,1,Providencia,-33.42441,-70.60942,Private room,1,1.5,1.0,1.0,23000,7.0,365.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5060,40402321.0,within an hour,0.94,1.0,False,True,True,5,Santiago,-33.44602,-70.64063,Entire home/apt,3,1.0,1.0,2.0,25000,5.0,30.0,172,7.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.23
5061,40403278.0,within an hour,0.9,0.77,False,True,True,2,Santiago,-33.44927,-70.63244,Entire home/apt,2,1.0,1.0,1.0,42000,2.0,30.0,178,7.0,6,5.0,5.0,4.83,5.0,5.0,5.0,4.67,False,2,0.22
5062,40680517.0,Unknown,0.0,1.0,False,True,False,0,Santiago,-33.46768,-70.63168,Private room,2,1.0,1.0,0.0,50000,2.0,7.0,89,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.03
5063,40693394.0,a few days or more,0.44,1.0,False,True,True,13,Providencia,-33.44117,-70.63265,Private room,2,1.0,1.0,2.0,126286,3.0,30.0,193,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,13,0.0
5064,40693633.0,a few days or more,0.44,1.0,False,True,True,13,Providencia,-33.43962,-70.63353,Private room,2,1.0,1.0,2.0,126286,3.0,30.0,193,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,13,0.0
5065,40693854.0,a few days or more,0.44,1.0,False,True,True,13,Providencia,-33.44001,-70.63429,Private room,3,1.0,1.0,2.0,126286,1.0,30.0,193,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,13,0.0
5066,40697384.0,Unknown,0.0,0.0,False,True,False,0,Peñalolén,-33.48011,-70.53794,Private room,1,2.0,1.0,1.0,35000,3.0,365.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5067,41044492.0,Unknown,0.0,0.0,False,True,False,0,Maipú,-33.56291,-70.77683,Private room,8,2.0,3.0,7.0,96000,2.0,7.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
5068,41057998.0,a few days or more,0.25,1.0,False,True,False,1,Santiago,-33.43541,-70.6735,Private room,1,1.0,1.0,1.0,11900,1.0,15.0,90,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,True,1,0.19
5069,40700330.0,within a day,0.6,0.43,False,True,True,1,Ñuñoa,-33.45286,-70.61303,Entire home/apt,2,1.5,1.0,1.0,32857,2.0,30.0,140,7.0,7,4.29,4.86,4.14,5.0,4.86,5.0,4.43,False,1,1.17
5070,40720015.0,Unknown,0.0,0.0,False,True,True,0,Maipú,-33.48692,-70.74001,Private room,1,2.0,1.0,1.0,25000,1.0,30.0,89,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
5071,40727223.0,within an hour,1.0,0.94,False,True,True,1,Las Condes,-33.41434,-70.60315,Entire home/apt,2,1.0,1.0,1.0,55000,1.0,120.0,233,57.0,24,4.84,4.89,4.81,4.91,4.84,4.98,4.79,True,2,1.92
5072,41063857.0,within an hour,1.0,0.99,True,True,True,26,Santiago,-33.44033,-70.64618,Entire home/apt,2,1.0,1.0,1.0,27714,2.0,35.0,261,93.0,45,4.95,4.95,4.97,4.98,4.97,4.9,4.96,False,4,3.11
5073,41075479.0,within a day,0.9,0.91,False,True,True,3,Santiago,-33.44887,-70.6546,Entire home/apt,2,1.0,1.0,2.0,25000,7.0,90.0,49,16.0,13,4.63,4.94,4.75,4.88,4.69,4.88,4.5,False,3,0.55
