VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1139,12806217,Unknown,0,0,False,True,True,2,Providencia,-33.42937,-70.61887,Entire home/apt,3,2,1,1,150000,3,30,178,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1142,13175843,within a few hours,1,0.8,True,True,True,4,Lo Barnechea,-33.34861,-70.29308,Entire home/apt,6,4,2,5,306049,7,90,365,11,1,4.73,4.73,4.45,4.91,5,4.82,4.64,True,2,0.15
1143,13192481,Unknown,0,0,False,True,True,1,Providencia,-33.42712,-70.59084,Entire home/apt,3,1,2,2,52832,12,30,54,9,0,5,5,5,5,5,5,5,True,1,0.13
1145,12811149,within an hour,1,1,False,True,False,1,Las Condes,-33.40489,-70.57736,Entire home/apt,6,1,3,5,396242,5,30,76,35,0,4.97,4.94,4.64,4.97,5,4.97,4.81,False,1,0.49
1146,12813568,within an hour,1,1,False,True,False,1,Santiago,-33.44858,-70.63599,Entire home/apt,2,1,1,2,20429,1,300,32,87,6,4.91,4.89,4.68,4.97,4.99,4.8,4.79,True,1,1.81
1147,12249934,within a day,1,1,False,True,False,3,Santiago,-33.4496,-70.6547,Entire home/apt,3,3,2,2,35000,2,30,294,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
1151,12814722,Unknown,0,0,False,True,True,12,Santiago,-33.44903,-70.64954,Entire home/apt,3,12,1,2,79248,2,30,0,18,0,4.39,4.76,4.83,4.88,4.94,4.59,4.53,True,12,0.25
1152,12820826,within a few hours,1,0,False,True,True,1,Lo Barnechea,-33.35768,-70.39964,Entire home/apt,6,1,2,6,314475,4,7,364,3,0,5,5,5,5,5,5,4.5,False,1,0.04
1153,12826193,within a few hours,1,0.8,False,True,True,1,Lo Barnechea,-33.34803,-70.2478,Entire home/apt,6,1,2,5,320000,2,30,10,31,1,4.9,4.97,4.84,4.9,4.94,4.94,4.55,True,1,0.42
1154,12829937,within a few hours,1,1,False,True,True,1,Lo Barnechea,-33.33398,-70.28811,Entire home/apt,10,1,3,8,354734,2,30,63,37,3,4.95,4.97,4.95,4.94,4.97,4.97,4.77,False,1,0.5
1155,12252180,within a few hours,1,0.39,False,True,True,2,Santiago,-33.43787,-70.64369,Entire home/apt,2,2,1,1,35000,3,30,294,50,0,5,4.98,4.94,4.96,4.96,4.98,4.94,False,1,0.71
1157,12832235,within a few hours,0.9,0.92,False,True,True,5,Lo Barnechea,-33.3458,-70.29143,Entire home/apt,5,5,1,5,200000,2,30,327,3,0,4.67,4.67,5,4.67,4.33,5,4.67,False,2,0.04
